article_id,entity,label,dataset,cui,preferred_name,rootSource,semantic_types
PMC11119140,appropriate treatment,TREATMENT,PMC,C3640049,Appropriate Treatment,NCI,Clinical Attribute
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC11119140,complex symptomatology,PROBLEM,PMC,,,,
PMC11119140,psychosocial implications,PROBLEM,PMC,,,,
PMC11119140,interprofessional supportive care management,TREATMENT,PMC,,,,
PMC11119140,these hurdles,PROBLEM,PMC,,,,
PMC11119140,interprofessional clinic approaches,TREATMENT,PMC,,,,
PMC11119140,an approach,TREATMENT,PMC,C0175672,Transvaginal approach,MTH,Spatial Concept
PMC11119140,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC11119140,standard therapies,TREATMENT,PMC,C2936643,Standard of Care,MSH,Health Care Activity
PMC11119140,surgery,TREATMENT,PMC,C0038894,Surgery specialty,MTH,Biomedical Occupation or Discipline
PMC11119140,chemotherapy,TREATMENT,PMC,C3665472,Chemotherapy,MTH,Therapeutic or Preventive Procedure
PMC11119140,radiation therapy,TREATMENT,PMC,C1522449,Radiation therapy (procedure),MTH,Therapeutic or Preventive Procedure
PMC11119140,survival,TEST,PMC,C0220921,survival aspects,MTH,Functional Concept
PMC11119140,disease stage,PROBLEM,PMC,C0699749,disease stage,MTH,Clinical Attribute
PMC11119140,treatment,TREATMENT,PMC,C1522326,Treating,MTH,Functional Concept
PMC11119140,symptoms,PROBLEM,PMC,C1457887,Symptoms,MTH,Sign or Symptom
PMC11119140,the multivariate analysis,TEST,PMC,C0026777,Multivariate Analysis,MSH,Quantitative Concept
PMC11119140,ecog,TEST,PMC,C0430797,Electrocorticogram,MTH,Diagnostic Procedure
PMC11119140,biopsy,TEST,PMC,C0005558,Biopsy,MTH,Diagnostic Procedure
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC11119140,initial assessment,TEST,PMC,C0150637,assessment.initial,CHV,Health Care Activity
PMC11119140,pathological diagnosis,TEST,PMC,C5554790,Pathological Diagnosis,NCI,Diagnostic Procedure
PMC11119140,symptom management,TREATMENT,PMC,C1536570,Symptom Management,MTH,Therapeutic or Preventive Procedure
PMC11119140,an interprofessional clinic model,TREATMENT,PMC,,,,
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC11119140,diagnostic biopsies,TEST,PMC,C2183263,diagnostic service sources renal lab (biopsies),MEDCIN,Finding
PMC11119140,symptom,PROBLEM,PMC,C1457887,Symptoms,MTH,Sign or Symptom
PMC11119140,supportive care management,TREATMENT,PMC,C4683871,"Malignant Bowel Obstruction, Best Supportive Care Palliative Team Management",NCI,Finding
PMC11119140,future care delivery models,TREATMENT,PMC,,,,
PMC11119140,pancreatic cancer,PROBLEM,PMC,C0235974,Pancreatic carcinoma,MTH,Neoplastic Process
PMC11119140,continuing such interventions,TREATMENT,PMC,,,,
PMC11119140,pdac,PROBLEM,PMC,,,,
PMC6852709,surgical techniques,TREATMENT,PMC,C2936334,Surgical Closure Techniques,MSH,Therapeutic or Preventive Procedure
PMC6852709,management,TREATMENT,PMC,C0376636,Disease Management,MTH,Health Care Activity
PMC6852709,complications,PROBLEM,PMC,C0009566,Complication,MTH,Pathologic Function
PMC6852709,pancreatic resection,TREATMENT,PMC,C0854522,Pancreatic resection,MDR,Therapeutic or Preventive Procedure
PMC6852709,pancreatic resection,TREATMENT,PMC,C0854522,Pancreatic resection,MDR,Therapeutic or Preventive Procedure
PMC6852709,surgery,TREATMENT,PMC,C0038894,Surgery specialty,MTH,Biomedical Occupation or Discipline
PMC6852709,metastatic cases,PROBLEM,PMC,,,,
PMC6852709,the present study,TEST,PMC,C2207391,nerve conduction study anomalous innervation screen anomalous innervation present,MEDCIN,Finding
PMC6852709,primary tumor resection,TREATMENT,PMC,C5409380,Initial resection of primary malignant tumor of peritoneum with bilateral salpingo-oophorectomy and omentectomy,CPT,Therapeutic or Preventive Procedure
PMC6852709,metastatic pancreatic cancer,PROBLEM,PMC,C0346976,Metastatic malignant neoplasm to pancreas,SNOMEDCT_US,Neoplastic Process
PMC6852709,metastatic pancreatic cancer,PROBLEM,PMC,C0346976,Metastatic malignant neoplasm to pancreas,SNOMEDCT_US,Neoplastic Process
PMC6852709,surgery,TREATMENT,PMC,C0038894,Surgery specialty,MTH,Biomedical Occupation or Discipline
PMC6852709,cancerspecific survival,TREATMENT,PMC,,,,
PMC6852709,treatment weightadjusted analysis,TEST,PMC,,,,
PMC6852709,propensity,TREATMENT,PMC,C2718044,Propensity Score,MSH,Quantitative Concept
