PMID,Title,Abstract,MeSH headings,Authors,Journal,Year,Month,Source,Country,Tokens,PMCID
38785475,Impact of an Inter-Professional Clinic on Pancreatic Cancer Outcomes: A Retrospective Cohort Study.,"Background: Pancreatic ductal adenocarcinoma (PDAC) presents significant challenges in diagnosis, staging, and appropriate treatment. Furthermore, patients with PDAC often experience complex symptomatology and psychosocial implications that require multi-disciplinary and inter-professional supportive care management from health professionals. Despite these hurdles, the implementation of inter-professional clinic approaches showed promise in enhancing clinical outcomes. To assess the effectiveness of such an approach, we examined the impact of the Wallace McCain Centre for Pancreatic Cancer (WMCPC), an inter-professional clinic for patients with PDAC at the Princess Margaret Cancer Centre (PM). Methods: This retrospective cohort study included all patients diagnosed with PDAC who were seen at the PM before (July 2012-June 2014) and after (July 2014-June 2016) the establishment of the WMCPC. Standard therapies such as surgery, chemotherapy, and radiation therapy remained consistent across both time periods. The cohorts were compared in terms of survival rates, disease stage, referral patterns, time to treatment, symptoms, and the proportion of patients assessed and supported by nursing and allied health professionals. Results: A total of 993 patients were included in the review, comprising 482 patients pre-WMCPC and 511 patients post-WMCPC. In the multivariate analysis, adjusting for ECOG (Eastern Cooperative Oncology Group) and stage, it was found that post-WMCPC patients experienced longer median overall survival (mOS, HR 0.84, 95% CI 0.72-0.98, p = 0.023). Furthermore, the time from referral to initial consultation date decreased significantly from 13.4 to 8.8 days in the post-WMCPC cohort (p < 0.001), along with a reduction in the time from the first clinic appointment to biopsy (14 vs. 8 days, p = 0.022). Additionally, patient-reported well-being scores showed improvement in the post-WMCPC cohort (p = 0.02), and these patients were more frequently attended to by nursing and allied health professionals (p < 0.001). Conclusions: The implementation of an inter-professional clinic for patients diagnosed with PDAC led to improvements in overall survival, patient-reported well-being, time to initial assessment visit and pathological diagnosis, and symptom management. These findings advocate for the adoption of an inter-professional clinic model in the treatment of patients with PDAC.","Humans; Retrospective Studies; *Pancreatic Neoplasms/therapy; Female; Male; Aged; Middle Aged; Carcinoma, Pancreatic Ductal/therapy; Treatment Outcome; Cohort Studies; Aged, 80 and over",Moffat GT; Coyne Z; Albaba H; Aung KL; Dodd A; Espin-Garcia O; Moura S; Gallinger S; Kim J; Fraser A; Hutchinson S; Moulton CA; Wei A; McGilvray I; Dhani N; Jang R; Elimova E; Moore M; Prince R; Knox J,"Current oncology (Toronto, Ont.)",2024,May,Curr Oncol. 2024 May 2;31(5):2589-2597. doi: 10.3390/curroncol31050194.,Switzerland,398,11119140
31677259,"Do Patients Diagnosed with Metastatic Pancreatic Cancer Benefit from Primary Tumor Surgery? A Propensity-Adjusted, Population-Based Surveillance, Epidemiology and End Results (SEER) Analysis.","BACKGROUND With the progress in surgical techniques and management of complications, pancreatic resection can be safely performed in experienced hospitals. Pancreatic resection enables surgeons to assess the effect of surgery for metastatic cases, even when there is limited information. In the present study we evaluated the role of primary tumor resection for metastatic pancreatic cancer (mPC) by using the Surveillance, Epidemiology and End Results (SEER) database. MATERIAL AND METHODS Metastatic pancreatic cancer patients treated at our hospital from 2004 to 2015 were identified. The effect of surgery on cancer-specific survival was assessed by restricted mean survival time (RMST) and stabilized inverse probability of treatment weight-adjusted analysis after propensity score matching (PSM). RESULTS A total of 2694 mPC patients were included. Of this population, 365 adults underwent primary tumor resection. After propensity matching, postsurgical patients had longer RMST than non-surgery patients (1: 1 PSM 11.60 months vs. 8.98 months; 1: 2 PSM 11.61 months vs. 9.10 months; p<0.01). Stabilized inverse probability of treatment weight-adjusted analysis yielded similar results (p<0.01). CONCLUSIONS Our study supports the hypothesis that patients with mPC can benefit from primary tumor surgery. However, the surgical inclusion criteria and the appropriate role of surgery, such as its effect on symptom control, quality of life, and the extent to which it prolongs survival for metastatic pancreatic cancer, remain to be completely assessed by well-designed, prospective, randomized clinical trials.",Adult; Aged; China; Female; Humans; Kaplan-Meier Estimate; Male; Middle Aged; Neoplasm Metastasis/therapy; Pancreatectomy; Pancreatic Neoplasms/*complications/*mortality/*surgery; Propensity Score; Prospective Studies; Quality of Life; SEER Program; Survival Rate,Wang L; Yang L; Chen L; Chen Z,Medical science monitor : international medical journal of experimental and clinical research,2019,Nov,Med Sci Monit. 2019 Nov 2;25:8230-8241. doi: 10.12659/MSM.917106.,United States,346,6852709
30894932,"A Review of Pancreatic Cancer: Epidemiology, Genetics, Screening, and Management.","Pancreatic cancer ranks among the causes of cancer-related deaths. The average size of pancreatic cancer during diagnosis is about 31 mm and has not changed significantly over the past 30 years. Poor early diagnosis of a tumour has been attributed to the late-presenting symptoms. Over the years, improvement in the diagnosis of pancreatic cancer has been observed, and this can be linked to advancement in imaging techniques as well as the increasing knowledge of cancer history and genetics. Magnetic Resonance Imaging, Endoscopic Ultrasound, and Computer Topography are the approved imaging modalities utilised in the diagnosing of pancreatic cancer. Over the years, the management of patients with pancreatic cancer has seen remarkable improvement as reliable techniques can now be harnessed and implemented in determining the resectability of cancer. However, only about 10% of pancreatic adenocarcinomas are resectable at the time of diagnosis and will highly benefit from a microscopic margin-negative surgical resection. Overall, the failure of early tumour identification will result in considerable morbidity and mortality.",,Idachaba S; Dada O; Abimbola O; Olayinka O; Uma A; Olunu E; Fakoya AOJ,Open access Macedonian journal of medical sciences,2019,Feb,Open Access Maced J Med Sci. 2019 Feb 14;7(4):663-671. doi: 10.3889/oamjms.2019.104. eCollection 2019 Feb 28.,North Macedonia,233,6420955
26328610,Integrative analysis of multi-omics data for identifying multi-markers for diagnosing pancreatic cancer.,"BACKGROUND: microRNA (miRNA) expression plays an influential role in cancer classification and malignancy, and miRNAs are feasible as alternative diagnostic markers for pancreatic cancer, a highly aggressive neoplasm with silent early symptoms, high metastatic potential, and resistance to conventional therapies. METHODS: In this study, we evaluated the benefits of multi-omics data analysis by integrating miRNA and mRNA expression data in pancreatic cancer. Using support vector machine (SVM) modelling and leave-one-out cross validation (LOOCV), we evaluated the diagnostic performance of single- or multi-markers based on miRNA and mRNA expression profiles from 104 PDAC tissues and 17 benign pancreatic tissues. For selecting even more reliable and robust markers, we performed validation by independent datasets from the Gene Expression Omnibus (GEO) data depository. For validation, miRNA activity was estimated by miRNA-target gene interaction and mRNA expression datasets in pancreatic cancer. RESULTS: Using a comprehensive identification approach, we successfully identified 705 multi-markers having powerful diagnostic performance for PDAC. In addition, these marker candidates annotated with cancer pathways using gene ontology analysis. CONCLUSIONS: Our prediction models have strong potential for the diagnosis of pancreatic cancer.","Biomarkers, Tumor/*genetics; *Computational Biology; Humans; MicroRNAs/*metabolism; Pancreatic Neoplasms/*diagnosis/*genetics/metabolism; RNA, Messenger/*metabolism; *Transcriptome",Kwon MS; Kim Y; Lee S; Namkung J; Yun T; Yi SG; Han S; Kang M; Kim SW; Jang JY; Park T,BMC genomics,2015,,BMC Genomics. 2015;16 Suppl 9(Suppl 9):S4. doi: 10.1186/1471-2164-16-S9-S4. Epub 2015 Aug 17.,England,262,4547403
36358718,Immunomodulatory Effects of Stereotactic Body Radiotherapy and Vaccination with Heat-Killed Mycobacterium Obuense (IMM-101) in Patients with Locally Advanced Pancreatic Cancer.,"BACKGROUND: Patients with locally advanced pancreatic cancer (LAPC) are treated with chemotherapy. In selected cases, stereotactic body radiotherapy (SBRT) can be added to the regimen. We hypothesized that adding an adjuvant containing a heat-killed mycobacterium (IMM-101) to SBRT may lead to beneficial immuno-modulatory effects, thereby improving survival. This study aims to investigate the safety of adding IMM-101 to SBRT and to investigate the immuno-modulatory effects of the combination treatment in the peripheral blood of LAPC patients. METHODS: LAPC patients were treated with SBRT (40 Gy) and six intradermal vaccinations of one milligram IMM-101. The primary endpoint was an observed toxicity rate of grade 4 or higher. Targeted gene-expression profiling and multicolor flow cytometry were performed for longitudinal immune-monitoring of the peripheral blood. RESULTS: Twenty patients received study treatment. No treatment-related adverse events of grade 4 or higher occurred. SBRT/IMM-101 treatment induced a transient decrease in different lymphocyte subsets and an increase in CD14+CD16-CD11b+HLA-DR(low) myeloid-derived suppressor cells. Importantly, treatment significantly increased activated ICOS+, HLA-DR+ and Ki67+PD1+ T and NK cell frequencies. This was not accompanied by increased levels of most inhibitory markers, such as TIM-3 and LAG-3. CONCLUSIONS: Combination therapy with SBRT and a heat-killed mycobacterium vaccine was safe and had an immune-stimulatory effect.",,van 't Land FR; Lau SP; de Koning W; Klaase L; Vink M; van Krimpen A; Dumas J; Vadgama D; Nuyttens JJ; Mustafa DAM; Stadhouders R; Willemsen M; Stubbs AP; Aerts JG; van Eijck CHJ,Cancers,2022,Oct,Cancers (Basel). 2022 Oct 27;14(21):5299. doi: 10.3390/cancers14215299.,Switzerland,426,9656492
34586588,Multifunctional thiosemicarbazones targeting sigma receptors: in vitro and in vivo antitumor activities in pancreatic cancer models.,"PURPOSE: Association of the metal chelating portion of thiosemicarbazone with the cytotoxic activity of sigma-2 receptors appears a promising strategy for the treatment of pancreatic tumors. Here, we developed a novel sigma-2 receptor targeting thiosemicarbazone (FA4) that incorporates a moiety associated with lysosome destabilization and ROS increase in order to design more efficient antitumor agents. METHODS: The density of sigma receptors in pancreatic cancer cells was evaluated by flow cytometry. In these cells, cytotoxicity (MTT assay) and activation of ER- and mitochondria-dependent cell death pathways (mRNA expression of GRP78, ATF6, IRE1, PERK; ROS levels by MitoSOX and DCFDA-AM; JC-1 staining) induced by the thiosemicarbazones FA4, MLP44, PS3 and ACthio-1, were evaluated. The expression of autophagic proteins (ATG5, ATG7, ATG12, beclin, p62 and LC3-I) was also studied. In addition, the in vivo effect of FA4 in xenograft models with and without gemcitabine challenge was investigated. RESULTS: We found that FA4 exerted a more potent cytotoxicity than previously studied thiosemicarbazones (MLP44, PS3 and ACthio-1), which were found to display variable effects on the ER or the mitochondria-dependent pro-apoptotic axis. By contrast, FA4 activated pro-apoptotic pathways and decreased autophagy, except in MiaPaCa2 cells, in which autophagic proteins were expressed at lower levels and remained unmodified by FA4. FA4 treatment of PANC-1 xenografted mouse models, poorly responsive to conventional chemotherapy, significantly reduced tumor volumes and increased intratumor apoptosis compared to gemcitabine, with no signs of toxicity. CONCLUSIONS: Our data indicate that FA4 exhibits encouraging activity in pancreatic cancer cells unresponsive to gemcitabine. These results warrant further investigation in patient-derived pancreatic cancers, and hold promise for the development of therapies that can more efficiently target the specific characteristics of individual tumor types.","Animals; Antineoplastic Agents/chemistry/pharmacology/*therapeutic use; Apoptosis/drug effects; Autophagy/drug effects; Biomarkers, Tumor/genetics/metabolism; Caspases/metabolism; Cell Death/drug effects; Cell Line, Tumor; Disease Models, Animal; Endoplasmic Reticulum Stress/drug effects; Enzyme Activation/drug effects; Female; Gene Expression Regulation, Neoplastic/drug effects; Mice, Inbred C57BL; Mice, Nude; Mitochondria/drug effects/pathology; Pancreatic Neoplasms/*drug therapy/genetics/*pathology; Reactive Oxygen Species/metabolism; Receptors, sigma/*metabolism; Thiosemicarbazones/chemistry/pharmacology/*therapeutic use; Mice",Niso M; Kopecka J; Abatematteo FS; Berardi F; Riganti C; Abate C,"Cellular oncology (Dordrecht, Netherlands)",2021,Dec,Cell Oncol (Dordr). 2021 Dec;44(6):1307-1323. doi: 10.1007/s13402-021-00638-5. Epub 2021 Sep 29.,Netherlands,324,8648660
33319059,Outcomes of endoscopic ultrasound as a one-off pancreatic cancer screening tool for 122 high- and moderate-risk patients.,"BACKGROUND AND AIM: Pancreatic cancer (PC) carries a poor prognosis and is often detected at later stages. Screening programs for moderate- and high-risk people are still under debate. We present the results from a prospective study on endoscopic ultrasound (EUS) as a one-off screening tool for pancreatic cancer screening. METHODS: Asymptomatic patients with moderate- or high-risk of PC were invited to participate. Moderate risk consisted of one first-degree and at least one second-degree relative with PC and no PC-associated genetic mutations. High risk consisted of >1 first-degree relatives with PC or PC-associated mutations (i.e. BRCA2, Lynch Syndrome, Familial Atypical Multiple Mole Melanoma Syndrome, STK11, or PALB2). All included patients had genetic counseling and a screening EUS done. Primary outcome was the detection of PC on EUS. Secondary outcomes assessed the evolution of psychological symptoms based on the Impact of Events Scale (IES) and Personal Consequences Questionnaire (PCQ) before and after the screening took place. RESULTS: A total of 122 patients had a screening EUS performed between 2013 and 2019; 60 were male, 55.8 years was the mean age, 78 were at high risk for PC, and 25 had PC-associated mutations. No pancreatic cancers were identified at the one-off EUS screening. Overall, patients' IES/PCQ scores did not change after screening and feedback of no malignancy, with the exception of females (less concerned about PC after screening EUS). CONCLUSIONS: EUS did not detect any PCs in either a moderate- or high-risk population as a one-off screening method. The EUS procedure and genetic counseling improved psychological symptoms for the female subset of this population.",,Efthymiou M; Chandran S; Zorron Cheng Tao Pu L; Collins A; Rajadurai A; Nikfarjam M; Vaughan R,JGH open : an open access journal of gastroenterology and hepatology,2020,Dec,JGH Open. 2020 Oct 17;4(6):1217-1223. doi: 10.1002/jgh3.12432. eCollection 2020 Dec.,Australia,349,7731834
30397425,Current role of palliative interventions in advanced pancreatic cancer.,"Pancreatic adenocarcinoma is the third leading cause of cancer death in the United States. Unfortunately, at diagnosis, most patients are not candidates for curative resection. Surgical palliation, a procedure performed with the intention of relieving symptoms or improving quality of life, comes to the forefront of management. This article reviews the palliative management of unresectable pancreatic cancer, including obstructive jaundice, duodenal obstruction and pain control with celiac plexus block. Although surgical bypasses for both biliary and duodenal obstructions usually achieve good technical success, they result in considerable perioperative morbidity and mortality, even when performed laparoscopically. The effectiveness of self-expanding metal stents for biliary drainage is excellent with low morbidity. Surgical gastrojejunostomy for duodenal obstruction appears to be best for patients with a life expectancy of greater than 2 mo while endoscopic stenting has been shown to be feasible with good symptom relief in those with a shorter life expectancy. Regardless of the palliative procedure performed, all physicians involved must be adequately trained in end of life management to ensure the best possible care for patients.",,Ciambella CC; Beard RE; Miner TJ,World journal of gastrointestinal surgery,2018,Oct,World J Gastrointest Surg. 2018 Oct 27;10(7):75-83. doi: 10.4240/wjgs.v10.i7.75.,United States,395,6212542
34249755,Expression and Role of Heparan Sulfated Proteoglycans in Pancreatic Cancer.,"Pancreatic cancer is a lethal condition with poor outcomes and an increasing incidence. The unfavourable prognosis is due to the lack of early symptoms and consequent late diagnosis. An effective method for the early diagnosis of pancreatic cancer is therefore sought by many researchers in the field. Heparan sulfated proteoglycan-related genes are often expressed differently in tumors than in normal tissues. Alteration of the tumor microenvironment is correlated with the ability of heparan sulfated proteoglycans to bind cytokines and growth factors and eventually to influence tumor progression. Here we discuss the importance of glypicans, syndecans, perlecan and extracellular matrix modifying enzymes, such as heparanases and sulfatases, as potential diagnostics in pancreatic cancer. We also ran an analysis on a multidimensional cancer genomics database for heparan sulfated proteoglycan-related genes, and report altered expression of some of them.",,Furini S; Falciani C,Frontiers in oncology,2021,,Front Oncol. 2021 Jun 25;11:695858. doi: 10.3389/fonc.2021.695858. eCollection 2021.,Switzerland,441,8267412
39925518,Factors Affecting Patency of Uncovered Duodenal Stents in Malignant Duodenal Stenosis Due to Pancreatic Cancer: A Retrospective Cohort Study.,"Introduction Malignant duodenal stenosis is a common complication in patients with pancreatic cancer, significantly impairing quality of life by obstructing oral intake. Duodenal stenting has become a preferred palliative intervention, offering minimally invasive symptom relief and allowing for the continuation of systemic chemotherapy. However, factors influencing stent patency remain underexplored. This study aimed to identify clinical, procedural, and tumor-related factors that affect the patency of uncovered duodenal stents in malignant duodenal stenosis caused by pancreatic cancer. Methods A retrospective cohort study was conducted at Chiba University Hospital, Chiba, Japan, analyzing data from 53 patients who underwent placement of 22 mm uncovered duodenal stents between June 2016 and December 2023. Eligibility criteria included that the primary tumor had not been resected and that no intestinal reconstruction had been performed. Data on patient demographics, tumor characteristics, procedural details, and outcomes were collected. Univariate and multivariate analyses were performed to evaluate factors influencing stent patency using the Kaplan-Meier method and Cox proportional hazards modeling. Results The mean patency duration for uncovered duodenal stents was 474 days, with stent occlusion occurring in 11 (20.8%) patients. Univariate analysis identified prior placement of transpapillary biliary plastic stents as significantly associated with reduced stent patency (p = 0.0057). Multivariate analysis confirmed this as an independent predictor of shorter patency (hazard ratio, 5.75; 95% CI, 1.37-24.22; p = 0.017). Tumor size, chemotherapy administration, and the location of duodenal stenosis were not significantly associated with stent patency. Conclusions Prior placement of transpapillary biliary plastic stents significantly reduces the patency of uncovered duodenal stents in patients with malignant duodenal stenosis caused by pancreatic cancer. This underscores the importance of procedural planning, including consideration of alternative biliary drainage methods, to optimize stent performance and improve patient outcomes.",,Takahashi K; Ohyama H; Ohno I; Kato N,Cureus,2025,Jan,Cureus. 2025 Jan 10;17(1):e77245. doi: 10.7759/cureus.77245. eCollection 2025 Jan.,United States,380,11807416
